,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
2108,"The Game of Maze","1","3","5.46212","thing","The Game of Maze","2","4","20","20","20","",,,,,,,,,,,,,
2109,"The Game of Shakespeare","3","","4.75","The Game of Shakespeare","1","4","60","60","60","1966","standalone",,,,,,,,,,,,,
2110,"A Game of Thrones: Hand of the King","7","","6.73882","A Game of Thrones: Hand of the King","2","4","30","30","15","2016","standalone",,,,,,,,,,,,,
2111,"A Game of Thrones: The Board Game (Second Edition)","9","1","7.65362","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","standalone",,,,,,,,,,,,,
2112,"A Game of Thrones: The Board Game (Second Edition) – A Dance with Dragons","6","","7.92566","A Game of Thrones: The Board Game (Second Edition) – A Dance with Dragons","6","6","180","180","180","2012","expansion",,,,,,,,,,,,,
2113,"A Game of Thrones: The Board Game (Second Edition) – A Feast for Crows","7","","7.96122","A Game of Thrones: The Board Game (Second Edition) – A Feast for Crows","4","4","120","120","120","2013","expansion",,,,,,,,,,,,,
2114,"A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons","7","","8.68334","A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons","3","8","240","240","120","2018","expansion",,,,,,,,,,,,,
2115,"Game of Thrones: The Iron Throne","8","","6.8766","Game of Thrones: The Iron Throne","3","5","60","60","30","2016","standalone",,,,,,,,,,,,,
2116,"Game of Thrones: The Iron Throne – The Wars to Come","7","","8","Game of Thrones: The Iron Throne – The Wars to Come","3","7","60","60","30","2017","expansion",,,,,,,,,,,,,
2117,"Game of Trains","4","4","5.93461","thing","Game of Trains","2","4","20","20","20","",,,,,,,,,,,,,
2118,"The Game on Fire (expansion)","0","","6.68439","The Game on Fire (expansion)","1","5","20","20","20","2015","expansion",,,,,,,,,,,,,
2119,"Game Over","6","","6.17474","Game Over","2","4","15","15","15","2012","standalone",,,,,,,,,,,,,
2120,"The Game: Spiel...so lange du kannst!","6","","6.70877","The Game","1","5","20","20","20","2015","standalone",,,,,,,,,,,,,
2121,"Gangsters","5","","6.25172","Gangsters","2","5","120","120","120","1992","standalone",,,,,,,,,,,,,
2122,"Ganoven Jagd","4","1","5.83667","Ganoven Jagd","2","2","20","20","20","1989","standalone",,,,,,,,,,,,,
2123,"Garden Dice","7","2","20826326","1793","thing","Garden Dice","2","4","60","60","",,,,,,,,,,,,,
2124,"Garden Dice: The Card Expansion","6","","7.13953","Garden Dice: The Card Expansion","2","4","60","60","60","2013","expansion",,,,,,,,,,,,,
2125,'"Garfield''s Chaotenspiel"',"4","1","5.39091",'"Garfield''s Crazy Card Game"',"2","8","0","0","0","1978","standalone",,,,,,,,,,,,,
2126,"Gargon","5","3","6.02514","Gargon","3","5","45","45","45","2001","standalone",,,,,,,,,,,,,
2127,"Gauntlet of Fools","6","","6.01232","Gauntlet of Fools","2","6","30","30","30","2012","standalone",,,,,,,,,,,,,
2128,"Gauntlet of Fools Promo Cards","6","","6.32738","Gauntlet of Fools Promo Cards","2","6","30","30","30","2012","expansion",,,,,,,,,,,,,
2129,"Gear & Piston","7","1","20842639","716","thing","Gear & Piston","2","6","30","30","",,,,,,,,,,,,,
2130,"Gear & Piston: Engineer Assistants","6","","6.38929","Gear & Piston: Engineer Assistants","2","6","30","30","30","2013","expansion",,,,,,,,,,,,,
2131,"Gear & Piston: Overheated","6","","6.31515","Gear & Piston: Overheated","2","6","30","30","30","2013","expansion",,,,,,,,,,,,,
2132,"Gear & Piston: The Americans","6","","6.31429","Gear & Piston: The Americans","2","6","30","30","30","2014","expansion",,,,,,,,,,,,,
2133,"Geister & Gespenster","4","","5.575","Geister & Gespenster","2","6","10","10","10","2004","standalone",,,,,,,,,,,,,
2134,"Gembloux: The Feint","5","4","6.64815","Gembloux: The Feint","2","2","0","0","0","1997","expansion",,,,,,,,,,,,,
2135,"Generalowsky","6","4","6.33046","Mahé","2","6","20","20","20","0","standalone",,,,,,,,,,,,,
2136,"Genesis 48: The First Arab-Israeli War","5","","7.60526","Genesis 48: The First Arab-Israeli War","2","2","0","0","0","2001","expansion",,,,,,,,,,,,,
2137,"Gergovia","7","","7.46949","Gergovia","2","2","0","0","0","2006","expansion",,,,,,,,,,,,,
2138,"German Rails","7","","6.94233","German Rails","3","5","60","60","60","2016","standalone",,,,,,,,,,,,,
2139,"Germania Magna: Border in Flames","6","","6.39306","Germania Magna: Border in Flames","2","4","60","60","30","2016","standalone",,,,,,,,,,,,,
2140,"Geronimo","5","","5.68769","Geronimo","1","5","480","480","480","1995","standalone",,,,,,,,,,,,,
2141,"Geschenkt ... ist noch zu teuer!","7","","7.0492","No Thanks!","3","7","20","20","20","2011","standalone",,,,,,,,,,,,,
2142,"Geschichten aus 1001 Nacht","7","3","7.06742","Tales of the Arabian Nights","1","6","120","120","120","1999","standalone",,,,,,,,,,,,,
2143,"Gespenster","6","4","6.3032","Black Spy","3","6","45","45","45","1990","standalone",,,,,,,,,,,,,
2144,"Get Out","3","","5.55909","Get Out","2","8","120","120","120","1996","standalone",,,,,,,,,,,,,
2145,"Gettysburg","4","","5.68848","Gettysburg","2","2","180","180","180","1964","standalone",,,,,,,,,,,,,
2146,"Gettysburg","6","","5.7984","Gettysburg","2","2","120","120","120","1977","standalone",,,,,,,,,,,,,
2147,"Gettysburg","9","","7.22951","Gettysburg","2","2","180","180","180","2010","standalone",,,,,,,,,,,,,
2148,"Gettysburg (125th Anniversary edition)","7","14","6.59564","Gettysburg (125th Anniversary edition)","2","2","90","90","90","1992","standalone",,,,,,,,,,,,,
2149,"Gettysburg: Badges of Courage","6","","7.00327","Gettysburg: Badges of Courage","2","2","180","180","180","2004","standalone",,,,,,,,,,,,,
2150,'"Gettysburg: Lee''s Greatest Gamble"',"4","","6.6359",'"Gettysburg: Lee''s Greatest Gamble"',"2","2","180","180","180","1992","standalone",,,,,,,,,,,,,
2151,"Gewinn mit 4","2","34","4.85307","Connect Four","2","2","10","10","10","1996","standalone",,,,,,,,,,,,,
2152,"Ghost Stories: The Guardhouse Expansion","0","","7.46817","Ghost Stories: The Guardhouse Expansion","1","4","60","60","60","2008","expansion",,,,,,,,,,,,,
2153,'"A GI''s Dozen"',"9","1","7.57612",'"A GI''s Dozen"',"2","2","180","180","180","2000","expansion",,,,,,,,,,,,,
2154,"Giant Dice Cup (brown)","5","","7.09032","Miscellaneous Game Accessory","0","0","0","0","0","0","standalone",,,,,,,,,,,,,
2155,"Giganten","6","6","6.71928","Giganten","3","4","90","90","90","1999","standalone",,,,,,,,,,,,,
2156,"Giganten der Lüfte","6","1","6.38608","Airships","2","4","60","60","45","2007","standalone",,,,,,,,,,,,,
2157,"Give Me the Brain!","6","","5.84999","Give Me the Brain!","3","8","30","30","30","2002","standalone",,,,,,,,,,,,,
2158,"Give Me the Brain!","5","","5.84999","Give Me the Brain!","3","8","30","30","30","1996","standalone",,,,,,,,,,,,,
2159,"Gladiator","6","1","6.50336","Gladiator","2","6","30","30","15","1981","standalone",,,,,,,,,,,,,
2160,"Glen More","7","7","7.08421","thing","Glen More","2","5","70","70","45","",,,,,,,,,,,,,
2161,'"Glenn Drover''s Empires: Age of Discovery – Plague Promo"',"5","","6.90515",'"Glenn Drover''s Empires: Age of Discovery – Plague Promo"',"2","6","120","120","120","2012","expansion",,,,,,,,,,,,,
2162,'"Glenn Drover''s Empires: Galactic Rebellion Revenge or Redemption Expansion"',"8","","6.90909",'"Glenn Drover''s Empires: Galactic Rebellion Revenge or Redemption Expansion"',"2","5","270","270","45","2016","expansion",,,,,,,,,,,,,
2163,"Globetrotter","4","","5.69887","Globetrotters","2","6","90","90","90","0","standalone",,,,,,,,,,,,,
2164,"Glory to Rome","7","2","7.48849","Glory to Rome","2","5","60","60","60","2007","standalone",,,,,,,,,,,,,
2165,"Glory to Rome Promo Cards","7","","7.46535","Glory to Rome Promo Cards","2","5","60","60","60","2011","expansion",,,,,,,,,,,,,
2166,"Glory to Rome: Republic Expansion","7","","7.42224","Glory to Rome: Republic Expansion","2","5","60","60","60","2012","expansion",,,,,,,,,,,,,
2167,"Glücksspielwürfel","2","4","3.5","Slots Dice","0","0","0","0","0","2000","standalone",,,,,,,,,,,,,
2168,"Gnadenlos!","4","1","5.95883","Gnadenlos!","3","4","45","45","45","2001","standalone",,,,,,,,,,,,,
2169,"Go Round","3","","4.66667","Go Round","2","2","0","0","0","2002","standalone",,,,,,,,,,,,,
2170,"Goa","9","3","7.60003","Goa","2","4","90","90","90","2004","standalone",,,,,,,,,,,,,
2171,"Goblin King","7","2","6.125","Goblin King","4","5","180","180","180","1996","standalone",,,,,,,,,,,,,
2172,"Goblins","5","","5.24135","Goblins","2","6","50","50","50","2009","standalone",,,,,,,,,,,,,
2173,"The God Kings: Warfare at the Dawn of Civilization,"38923","7","5.60356","thing","The God Kings: Warfare at the Dawn of Civilization, 1500 – 1260BC","2","4","480","480","",,,,,,,,,,,,,
2174,"God Save the King","6","","6.7","God Save the King","2","2","60","60","60","1994","expansion",,,,,,,,,,,,,
2175,"The Godfather Game","4","","5.74","The Godfather Game","2","4","90","90","90","1971","standalone",,,,,,,,,,,,,
2176,"Gold Connection","7","5","6.44315","Gold Connection","2","4","60","60","60","1992","standalone",,,,,,,,,,,,,
2177,"Gold Train","5","","5.10714","Gold Train","2","6","120","120","120","2000","standalone",,,,,,,,,,,,,
2178,"Gold und Rum","5","1","5.66029","Gold und Rum","4","7","45","45","45","2003","standalone",,,,,,,,,,,,,
2179,"Gold!","5","","4.90222","Gold!","2","8","60","60","60","1981","standalone",,,,,,,,,,,,,
2180,"Gold!","5","","6.43429","Gold!","2","3","20","20","20","2011","standalone",,,,,,,,,,,,,
2181,"GOLD! Promotional Scoring Card","4","","6.04545","GOLD! Promotional Scoring Card","2","3","20","20","20","2011","expansion",,,,,,,,,,,,,
2182,"Goldbräu","8","1","6.41558","Goldbräu","3","4","60","60","60","2004","standalone",,,,,,,,,,,,,
2183,"Golden Goal","5","","5.6","Golden Goal","3","8","60","60","60","1998","standalone",,,,,,,,,,,,,
2184,"Goldgräber","4","3","5.84703","Eureka","3","6","60","60","60","1988","standalone",,,,,,,,,,,,,
2185,"Goldland","5","3","6.67822","Goldland","2","5","60","60","60","2002","standalone",,,,,,,,,,,,,
2186,"Goldrush-City","3","","4.75405","Goldrush-City","3","5","30","30","30","2001","standalone",,,,,,,,,,,,,
2187,"Golf Dice","2","1","4.2","Golf Dice","1","0","30","30","30","0","standalone",,,,,,,,,,,,,
2188,"The Golf Game: Par Excellence","5","1","6.63462","The Golf Game","1","4","0","0","0","0","standalone",,,,,,,,,,,,,
2189,"GolfMania","6","12","5.13009","GolfMania","2","6","20","20","20","1997","standalone",,,,,,,,,,,,,
2190,"The Good, and the Munchkin","30166","10110743","3044","thing","The Good, the Bad, and the Munchkin","3","6","",,,,,,,,,,,,,
2191,"The Good, and the Munchkin 2: Beating a Dead Horse","103847","15600779","551","thing","The Good, the Bad, and the Munchkin 2: Beating a Dead Horse","3","6","",,,,,,,,,,,,,
2192,"The Gothic Game","6","","6.52824","The Gothic Game","2","8","90","90","45","1992","standalone",,,,,,,,,,,,,
2193,"Götter,"2242","5","5.3999","thing","Creatures & Cultists","2","5","30","30","30","",,,,,,,,,,,,,
2194,"Grabsch","2","","4.34483","Grabsch","2","4","20","20","20","1998","standalone",,,,,,,,,,,,,
2195,"The Grain Elevator","8","","5.77778","The Grain Elevator","2","0","0","0","0","1997","expansion",,,,,,,,,,,,,
2196,"Gran","4","8","5.07442","Quest","3","6","60","60","50","1984","standalone",,,,,,,,,,,,,
2197,"Grand National Derby","5","5","6.36071","Grand National Derby","2","5","30","30","30","1996","standalone",,,,,,,,,,,,,
2198,"Grand Prix","7","","5.94565","Grand Prix","1","12","300","300","300","1985","standalone",,,,,,,,,,,,,
2199,"Grand Prix","8","","7.19369","Grand Prix","2","11","90","90","90","2016","standalone",,,,,,,,,,,,,
2200,"Grand Prix Circus","6","","7.36364","Grand Prix Circus","1","1","30","30","30","1995","standalone",,,,,,,,,,,,,
2201,"El Grande","9","18","7.62058","thing","El Grande","2","5","120","120","60","",,,,,,,,,,,,,
2202,"El Grande: Grandissimo","7","","6.89682","El Grande: Grandissimo","2","5","90","90","90","1999","expansion",,,,,,,,,,,,,
2203,"El Grande: Grossinquisitor und Kolonien","7","","7.30172","El Grande: Grossinquisitor und Kolonien","2","5","90","90","90","1997","expansion",,,,,,,,,,,,,
2204,"El Grande: König & Intrigant","8","","7.39969","El Grande: König & Intrigant","2","5","90","90","90","1997","expansion",,,,,,,,,,,,,
2205,'"El Grande: König & Intrigant – Player''s Edition"',"7","","7.2796",'"El Grande: König & Intrigant – Player''s Edition"',"2","5","120","120","120","1998","expansion",,,,,,,,,,,,,
2206,"El Grande: König & Intrigant – Unverkäufliche Sonderkarten","7","","7.29722","El Grande: König & Intrigant – Unverkäufliche Sonderkarten","2","5","0","0","0","0","expansion",,,,,,,,,,,,,
2207,"Grant Takes Command","6","","7.86296","Grant Takes Command","2","2","120","120","120","2001","standalone",,,,,,,,,,,,,
2208,"Grass","5","2","5.94731","Grass","2","6","60","60","60","1983","standalone",,,,,,,,,,,,,
2209,"Grave Robbers From Outer Space","7","","5.80747","Grave Robbers From Outer Space","2","6","40","40","20","2001","standalone",,,,,,,,,,,,,
2210,'"Grave Robbers II: Skippy''s Revenge"',"6","","6.19896",'"Grave Robbers II: Skippy''s Revenge"',"2","6","30","30","30","2003","standalone",,,,,,,,,,,,,
2211,"The Great Battles of Alexander: Deluxe Edition","7","","7.72648","The Great Battles of Alexander: Deluxe Edition","2","4","240","240","240","2003","standalone",,,,,,,,,,,,,
2212,"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C.","7","","7.13282","The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C.","2","2","360","360","360","1994","standalone",,,,,,,,,,,,,
2213,"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C. – Dictator","7","","7.53492","The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C. – Dictator","2","2","360","360","360","1995","expansion",,,,,,,,,,,,,
2214,"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C. – Veni Vidi Vici: The Battles of Nicopolis 48 B.C. Zela 47 B.C.","7","","7.08021","The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C. – Veni Vidi Vici: The Battles of Nicopolis 48 B.C. Zela 47 B.C.","2","2","360","360","360","1999","expansion",,,,,,,,,,,,,
2215,"The Great Brain Robbery","5","","5.54497","The Great Brain Robbery","3","7","60","60","60","2000","standalone",,,,,,,,,,,,,
2216,"The Great Dalmuti","7","1","6.55546","The Great Dalmuti","4","8","60","60","60","1995","standalone",,,,,,,,,,,,,
2217,"The Great Fire of London 1666","6","1","6.52784","The Great Fire of London 1666","3","6","120","120","80","2010","standalone",,,,,,,,,,,,,
2218,"The Great Game of Britain","3","4","5.63418","The Great Game of Britain","2","5","30","30","30","1973","standalone",,,,,,,,,,,,,
2219,"The Great Invasion: The Gettysburg Campaign June 24 – July 3,"4455","5","5.51657","thing","The Great Invasion: The Gettysburg Campaign June 24 – July 3, 1863","2","2","180","180","",,,,,,,,,,,,,
2220,"The Great Khan Game","6","","6.64553","The Great Khan Game","2","6","90","90","90","1989","standalone",,,,,,,,,,,,,
2221,"Great Western","5","","","15567","394","thing","Great Western","2","4","40","",,,,,,,,,,,,,
2222,"Great Western Railway Game","4","2","5.23784","Great Western Railway Game","2","6","90","90","90","1985","standalone",,,,,,,,,,,,,
2223,"Great Western: Harz and Bayern","4","","5.7175","Great Western: Harz and Bayern","2","4","40","40","40","2011","expansion",,,,,,,,,,,,,
2224,"Greed","5","3","5.31425","Greed","2","6","30","30","30","2000","standalone",,,,,,,,,,,,,
2225,"Greed Incorporated","6","1","6.98419","Greed Incorporated","3","5","180","180","180","2009","standalone",,,,,,,,,,,,,
2226,"Gregory Horror Show","3","2","4.87091","Gregory Horror Show","2","4","90","90","90","2002","standalone",,,,,,,,,,,,,
2227,"Greyhawk Wars","5","1","5.87214","Greyhawk: Wars","2","6","180","180","180","1991","standalone",,,,,,,,,,,,,
2228,"Greyhounds","7","9","6.35258","Greyhounds","3","4","90","90","90","1987","standalone",,,,,,,,,,,,,
2229,"Gronk","4","","5.2","Gronk","2","4","30","30","30","1997","standalone",,,,,,,,,,,,,
2230,"Groo: The Game","8","2","6.26919","Groo: The Game","2","4","45","45","45","1997","standalone",,,,,,,,,,,,,
2231,"Groo: The Game – Expansion Set","8","","5.75747","thing","Groo: The Game – Expansion Set","2","6","45","45","45","",,,,,,,,,,,,,
2232,"Grossdeutschland Pack 1","7","","7.57273","Grossdeutschland Pack 1","2","2","0","0","0","2002","expansion",,,,,,,,,,,,,
2233,"Grossdeutschland Pack 2","7","","7.5","Grossdeutschland Pack 2","2","2","0","0","0","2003","expansion",,,,,,,,,,,,,
2234,"Gruftmeister","3","","3.35714","Gruftmeister","2","4","60","60","60","2005","standalone",,,,,,,,,,,,,
2235,"Grusel Wusel","2","1","4.41869",'"Trick ''r Treat"',"3","6","20","20","20","1998","standalone",,,,,,,,,,,,,
2236,"Guadalcanal","7","","6.38203","Guadalcanal","2","2","240","240","90","1992","standalone",,,,,,,,,,,,,
2237,"Guadalcanal","5","1","5.82821","Guadalcanal","2","2","360","360","360","1966","standalone",,,,,,,,,,,,,
2238,"Guerilla","6","3","6.2697","Guerilla","3","6","60","60","60","1994","standalone",,,,,,,,,,,,,
2239,"Guerra Civil Española: Expansión no oficial para The Rise of the Luftwaffe","7","","5.66667","Guerra Civil Española: Expansión no oficial para The Rise of the Luftwaffe","2","3","60","60","60","1993","expansion",,,,,,,,,,,,,
2240,"Guerra Civil:  The Spanish Civil War – 1936-1939","7","2","6.4375","Guerra Civil:  The Spanish Civil War – 1936-1939","2","2","60","60","60","2001","expansion",,,,,,,,,,,,,
2241,"Guildhall","8","2","","839","4435","thing","Guildhall","2","4","45","",,,,,,,,,,,,,
2242,"Guildhall: Job Faire","8","","7.19244","Guildhall: Job Faire","2","4","45","45","30","2013","standalone",,,,,,,,,,,,,
2243,"Guillotine","6","","6.53489","Guillotine","2","5","30","30","30","1998","standalone",,,,,,,,,,,,,
2244,"Guillotine","8","2","6.43033","Guillotine","2","4","90","90","90","1987","standalone",,,,,,,,,,,,,
2245,"Gulf Strike","7","","6.64103","Gulf Strike","2","2","360","360","360","1990","standalone",,,,,,,,,,,,,
2246,"Gulf,"36424","6","5.65459","thing","Gulf, Mobile & Ohio","3","5","60","60","",,,,,,,,,,,,,
2247,"Gulf,"43571","6","0","thing","Gulf, Mobile & Ohio: Expansion #1","3","5","75","75","",,,,,,,,,,,,,
2248,"Gung Ho!: ASL Module 9","10","2","8.08877","Gung Ho!: ASL Module 9","2","2","120","120","120","1992","expansion",,,,,,,,,,,,,
2249,"The Guns of August","6","","5.84549","The Guns of August","2","6","360","360","360","1981","standalone",,,,,,,,,,,,,
2250,"The Guns of Gettysburg","0","","7.83848","The Guns of Gettysburg","2","4","180","180","180","2013","standalone",,,,,,,,,,,,,
2251,"Gunship: Anti-Fighter Turret Promo","5","","6.6","Gunship: Anti-Fighter Turret Promo","2","4","30","30","30","2013","expansion",,,,,,,,,,,,,
2252,"Gunship: Asteroids!","7","","6.21579","Gunship: Asteroids!","2","4","30","30","30","2013","expansion",,,,,,,,,,,,,
2253,"Gunship: Crewmates!","7","","6.2913","Gunship: Crewmates!","2","4","30","30","30","2012","expansion",,,,,,,,,,,,,
